Event Desc,En No,Site Name,Licensee Name,Region No,City Name,State Cd,County Name,License No,Agreement State Ind,Docket No,Unit Ind1,Unit Ind2,Unit Ind3,Reactor Type,Nrc Notified By,Ops Officer,Notification Dt,Notification Time,Event Dt,Event Time,Time Zone,Last Updated Dt,Emergency Class,Cfr Cd1,Cfr Descr1,Cfr Cd2,Cfr Descr2,Cfr Cd3,Cfr Descr3,Cfr Cd4,Cfr Descr4,Staff Name1,Org Abbrev1,Staff Name2,Org Abbrev2,Staff Name3,Org Abbrev3,Staff Name4,Org Abbrev4,Staff Name5,Org Abbrev5,Staff Name6,Org Abbrev6,Staff Name7,Org Abbrev7,Staff Name8,Org Abbrev8,Staff Name9,Org Abbrev9,Staff Name10,Org Abbrev10,Scram Code 1,RX CRIT 1,Initial PWR 1,Initial RX Mode1,Current PWR 1,Current RX Mode 1,Scram Code 2,RX CRIT 2,Initial PWR 2,Initial RX Mode 2,Current PWR 2,Current RX Mode 2,Scram Code 3,RX CRIT 3,Initial PWR 3,Initial RX Mode 3,Current PWR 3,Current RX Mode 3,Event Text
Power Reactor,52567,HATCH,SOUTHERN NUCLEAR OPERATING COMPANY,2,BAXLEY,GA,APPLING,,Y,,,2,,"[1] GE-4,[2] GE-4",RODGER LOWER,HOWIE CROUCH,2/20/2017 0:00,1:14,2/19/2017 0:00,23:23,EST,2/20/2017 0:00,NON EMERGENCY,50.72(b)(3)(ii)(A),DEGRADED CONDITION,,,,,,,BRIAN BONSER,R2DO,,,,,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,Refueling,0,Refueling,N,N,0,,0,,"CONTAINMENT PENETRATION EXCEEDED ALLOWABLE LEAKAGE  ""On 2/19/2017 at 2323 EST, during LLRT [local leak rate test] testing per 42SV-TET-001-2, 2T48F320 exceeded the maximum allowable leakage limit. The companion isolation valve in the same line (2T48F319) had previously failed LLRT. The failure of the 2T48F320 represents a failure of the 2T23X26 penetration to maintain primary containment integrity.  ""This event is reportable per 10CFR50.72(b)(3)(ii)(A) since the failure of the 2T23X26 penetration caused primary containment leakage to exceed La [allowable leakage] and thus represents a degraded principle safety barrier.  ""CR [condition report] 10333178.  ""NRC Resident Inspector has been notified.""  2T48F319 and 2T48F320 are 18 inch dampers.  This event places the licensee in a Technical Specification limit that requires the dampers to be repaired and pass LLRT prior to the plant entering Mode 3."
Power Reactor,52568,RIVER BEND,ENTERGY NUCLEAR,4,ST FRANCISVILLE,LA,WEST FELICIANA,,Y,5000458,1,,,[1] GE-6,STEVEN CARTER,DONALD NORWOOD,2/20/2017 0:00,17:24,2/20/2017 0:00,12:40,CST,2/22/2017 0:00,NON EMERGENCY,50.72(b)(3)(ii)(B),UNANALYZED CONDITION,,,,,,,HEATHER GEPFORD,R4DO,,,,,,,,,,,,,,,,,,,N,N,0,Refueling,0,Refueling,N,N,0,,0,,N,N,0,,0,,"UNANALYZED CONDITION DUE TO POTENTIAL FAILURE OF CONTROL ROOM AND CONTROL BUILDING AIR HANDLING UNITS  ""During the investigation associated with Event Notification 52566 that was reported on 2/18/17, it has been determined that an unanalyzed condition (new potential single failure concerns) exists. This condition exists only during periods of manually alternating divisions of Control Building Chilled Water systems; in that potential failures of Control Room Air Handling Units (HVC-ACU1A or B) or Control Building Air Handling Units (HVC-ACU2A or B) could fail in a manner that challenges the operability of the alternate division.    ""As reported in Event Notification 52566, the impact of this event was a loss of safety function cooling to both Division 1 and 2 AC/DC power distribution systems and Divisions 1 and 2 Control Room Fresh Air systems.    ""Contingency actions are in development to address the impact of the potential failure mode. The plant remains in a planned refueling outage, Mode 5 with water level greater than 23' above the vessel flange. Shutdown cooling remains in service and is not affected by this issue.  Investigation is ongoing.  ""The NRC Resident Inspector has been briefed on this issue.""   * * * UPDATE FROM ROB MELTON TO DONALD NORWOOD AT 2129 EST ON 2/20/2017 * * *  The licensee updated information in the first paragraph of the original above with the following:  ""During the investigation associated with Event Notification 52566 that was reported on 2/18/17, it has been determined that an unanalyzed condition (new potential single failure concerns) exists. During periods of alternating divisions of Control Building Chilled Water systems, the potential exists for failures of Control Room Air Handling Units (HVC-ACU1A or B) or Control Building Air Handling Units (HVC-ACU2A or B) that could challenge the operability of the alternate division.""  The licensee notified the NRC Resident Inspector of this update.  Notified R4DO (Gepford)   * * * UPDATE FROM STEVEN CARTER TO MARK ABRAMOVITZ AT 1513 EDT ON 2/22/17 * * *  ""After further investigation it has been determined that an unanalyzed condition (new single failure concerns) exists with the dampers associated with the Control Room Fresh Air system. The potential exists for damper failures for HVC-FN1A Control Room Booster Fan 1A motor and HVC-FN1B Control Room Booster Fan 1B motor that could challenge the operability of the alternate division.  ""Contingency actions are in development to address the impact of the potential failure mode. The plant remains in a planned refueling outage, Mode 5, with water level greater than 23 feet above the vessel flange. Shutdown cooling remains in service and is not affected by this issue. Investigation is ongoing.  ""The NRC Resident Inspector has been briefed on this issue.""  Notified R4DO (Pick)."
Non-Agreement State,52570,"DBI, INC.","DBI, INC.",4,OVERLAND PARK,KS,,15-29301-02,Y,,,,,,MATT SLAYMAKER,JEFF HERRERA,2/22/2017 0:00,10:59,2/21/2017 0:00,13:23,CST,2/22/2017 0:00,NON EMERGENCY,30.50(b)(2),SAFETY EQUIPMENT FAILURE,,,,,,,MARK JEFFERS,R3DO,GREG PICK,R4DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"RADIOGRAPHY SOURCE CABLE DISCONNECTED FROM SOURCE  ""On February 21, 2017, DBI Inc. had an industrial radiography source disconnect incident occur while at a pipeline customer's field site in Rutledge, MO (approx. 4hrs. from Overland Park, KS office). At approximately 1323 CST during the crew's first source retraction it was determined that the source had become disconnected from the drive cable. The crew immediately recognized the situation through the use of their dosimetry equipment and established the emergency 2 mR/hr boundaries.   ""The Corporate Radiation Safety Officer (CRSO) was immediately notified of the issue. The CRSO informed the crew to maintain surveillance of the restricted area barricades and to wait until he arrived before any further actions were taken. The CRSO arrived at the job site at approximately 1705 CST to retrieve the source. The source was secured back into the exposure device by 1730 CST. The CRSO received less than 1 mR during the retrieval procedure.   ""Listed below are the manufacturer and model number of equipment involved in the incident:    - QSA Global 880 Delta Exposure Device    - QSA Global lr-192 Source (45 Curies) Model A424-9    - QSA Global 35 foot Extreme Weather Control Cables    - QSA Global 7 foot Extreme Weather Source Tube with a 4hvl Collimator  ""The level II radiographer involved holds a current Iowa Industrial Radiographer Trainer Card and the assistant is a trainee."""
Power Reactor,52571,BEAVER VALLEY,FIRSTENERGY NUCLEAR OPERATING COMPANY,1,SHIPPINGPORT,PA,BEAVER,,N,5000334,1,2,,"[1] W-3-LP,[2] W-3-LP",TOM OLEARY,JEFF ROTTON,2/23/2017 0:00,13:02,2/23/2017 0:00,10:40,EST,2/23/2017 0:00,NON EMERGENCY,50.72(b)(3)(ii)(B),UNANALYZED CONDITION,50.72(b)(3)(v)(A),POT UNABLE TO SAFE SD,,,,,RAY POWELL,R1DO,,,,,,,,,,,,,,,,,,,N,Y,100,Power Operation,100,Power Operation,N,Y,100,Power Operation,100,Power Operation,N,N,0,,0,,"POTENTIAL TORNADO MISSILE VULNERABILITIES  ""In order to address the concerns outlined in RIS [Regulatory Information Summary] 2015-06 'TORNADO MISSILE PROTECTION', an evaluation of tornado missile vulnerabilities and their potential impact on Technical Specification (TS) plant equipment was conducted. This evaluation concluded that the following Structures, Systems, and Components (SSCs) are potentially vulnerable to tornado generated missiles:  ""The BVPS Unit 1 (BV-1) and BVPS Unit 2 (BV-2) Main Steam Safety Valve (MSSVs) discharge flow paths to atmosphere (reference TS 3.7.1) are potentially vulnerable to tornado generated missiles. A tornado could generate missiles capable of striking the exhaust piping of the MSSVs potentially crimping the piping and resulting in reduced flow capacity. In the worst case, all MSSV's could be rendered inoperable. This condition is reportable per 10 CFR 50.72(b)(3)(ii)(B), and 10 CFR 50.72(b)(3)(v)(A).  ""The BV-1 and BV-2 Atmospheric Steam Dumps (ADVs) discharge flow paths to atmosphere (reference TS 3.7.4) are potentially vulnerable to tornado generated missiles. A tornado could generate missiles capable of striking the exhaust piping of the ADVs potentially crimping the piping and resulting in reduced flow capacity. In the worst case, all ADVs could be rendered inoperable. This condition is reportable per 10 CFR 50.72(b)(3)(ii)(B), and 10 CFR 50.72(b)(3)(v)(A).  ""The BV-2 Auxiliary Building tornado missile shield door (A-35-5A), credited for tornado missile protection of the Primary Component Cooling Water (PCCW) system, was found to not be fully closed and latched. A tornado could generate missiles capable of striking the PCCW system with the missile door open rendering both trains of the PCCW system inoperable. This door is now maintained closed and latched except when opened under administrative controls. This condition is reportable per 10 CFR 50.72(b)(3)(ii)(B).  ""The BV-2 Spent Fuel Building tornado missile shield door (F-66-3), credited for tornado missile protection of the irradiated fuel assemblies in the Spent Fuel Pool including the Cask Pit, was found to not be fully closed and latched. This door is now maintained closed and latched except when opened under administrative controls. This condition is reportable per 10 CFR 50.72(b)(3)(ii)(B).  ""The potential tornado missile vulnerabilities for the MSSVs and ADVs (discussed above) are being addressed in accordance with EGM-15-002 Rev 1 and DSS-ISG-2016-01 (NRC enforcement discretion and interim guidance documents). Immediate compensatory measures were taken to reduce the likelihood and mitigate the potential consequences of an onsite tornado generated missiles.  ""The NRC Resident inspector has been notified."""
Power Reactor,52573,MCGUIRE,DUKE POWER,2,CORNELIUS,NC,MECKLENBURG,,Y,,,2,,"[1] W-4-LP,[2] W-4-LP",RYAN WHISNANT,JEFF ROTTON,2/23/2017 0:00,22:01,2/23/2017 0:00,19:22,EST,2/23/2017 0:00,NON EMERGENCY,50.72(b)(2)(i),PLANT S/D REQD BY TS,50.72(b)(3)(ii)(A),DEGRADED CONDITION,,,,,JONATHAN BARTLEY,R2DO,,,,,,,,,,,,,,,,,,,N,N,,,0,,N,Y,100,Power Operation,33,Power Operation,N,N,0,,0,,"TECHNICAL SPECIFICATION SHUTDOWN DUE TO RCS PRESSURE BOUNDARY LEAKAGE  ""On February 23, 2017, a containment visual inspection was performed to identify the source of elevated RCS [Reactor Coolant System] leakage. A leak was identified at the nozzle connection of the boron injection line to 2D RCS cold leg at 1922 [EST]. It was determined that the leak cannot be isolated and is considered RCS pressure boundary leakage. Unit 2 entered TS LCO 3.4.13, RCS Operational Leakage, Condition B, for the existence of pressure boundary leakage.  ""This event is reportable in accordance with 10CFR50.72(b)(2)(i) (4 hours) for 'initiation of plant shutdown required by Technical Specifications' and 10CFR50.72(b)(3)(ii)(A) (8 hours) for 'any event or condition that results in the condition of the nuclear power plant, including its principal safety barriers, being seriously degraded.'  ""The unit will shutdown and repairs will be performed in Mode 5.  ""This condition has no impact on public health and safety.  ""The licensee has informed the NRC Resident Inspector.""  At the time of the event notification, Unit 2 was at 33 percent power.  Unidentified RCS leakage is estimated at 0.28 gpm. Unit 2 is expected to be in Mode 3 by 0122 EST on 02/24/2017.  Unit 1 is not affected by this event."
Power Reactor,52575,LACROSSE,DAIRYLAND POWER COOPERATIVE,3,LACROSSE,WI,VERNON,,Y,5000409,1,,,[1] AC (ALLIS CHAMBERS),CHERYL OLSON,JEFF ROTTON,2/24/2017 0:00,14:40,2/24/2017 0:00,12:45,CST,2/24/2017 0:00,NON EMERGENCY,50.72(b)(2)(xi),OFFSITE NOTIFICATION,,,,,,,MARK JEFFERS,R3DO, NMSS_EVENTS_NOTIFIC,EMAI,,,,,,,,,,,,,,,,,N,N,0,Decommissioned,0,Decommissioned,N,N,0,,0,,N,N,0,,0,,"OFFSITE NOTIFICATION TO STATE OF WISCONSIN DUE TO INADVERTENT RELEASE OF CONTAMINATED WATER  ""The Wisconsin Department of Natural Resources (WDNR) was notified today at 1245 [CST] of an inadvertent release of radioactively contaminated water [as required by the licensee's site permit to report any release of contaminated water into the Mississippi River].  ""At approximately 0715 on February 23, 2017, Solutions Management was notified by a Radiation Protection Technician (RPT) that the containment berm of the East (immediately north of Turbine Building) Baker Tank (20,000 gallon storage tank) was full and spilling out of the containment berm. The water that spilled out of the containment berm had pooled to the north of the tank and eventually began draining into the Radiological Controlled Area (RCA) storm sewer drain.   ""Upon discovery and initial investigation the RPT ascertained that a sump pump hose which was left in the tank overnight was siphoning into the containment berm. The RPT immediately removed the hose from the water in the Baker Tank to stop the water from siphoning. Once the water was secured actions were taken [to minimize the contamination].  ""Approximately 400 gallons had been lost from the tank. The 400 gallons was siphoned from the tank through a garden hose attached to a sump pump which was sitting in the containment berm. Over the course of approximately 16 hours the water siphoning from the tank filled the containment berm which holds a little over 3,100 gallons and spilled on to an asphalt surface. The water then traveled approximately 30 feet over the asphalt surface to the storm sewer which contained inlet protection in accordance with the Storm Water Pollution Prevention Plan. After filtering through the inlet protection the water remained in the storm water drain until the volume was sufficient enough to reach the 10 inch discharge piping (approximately 12 inches).  The water traveled approximately 100 feet to the next storm water drain where it remained until the volume was sufficient enough to reach the 10 inch discharge piping (approximately 8 inches). When the manhole was opened, the level of the water was just above the bottom of the 10 inch discharge piping and was flowing slowly. The water leaving the 10 inch discharge piping flowed to a 60 inch discharge pipe that discharges to the Mississippi River.  ""Water samples and smear surveys were analyzed, documented and reviewed by the Lacrosse Solutions (Solutions) Radiation Protection Manager (RPM) and NRC Region 3 Inspector Dr. Peter Lee, who was on site performing a routine inspection. Analytical results of the released water showed that it contained only Cs-137 in concentrations ranging from 1.1E-06 uCi/ml to 2.86 E-06 uCi/ml. The concentration levels exceed the 10CFR20 Table 2 limits for effluents (water) for Cs-137 which is 1 E-06 uCi/ml. The concentration levels exceed the 10CFR20 Table 2 limits for effluents(water) for Cs-137 which is 1 E-06 uCi/ml. Although the concentration levels exceed the 10CFR20 Table 2 limits for effluents (water) for Cs-137 they did not exceed the criteria for reportability which is 20 times the Table 2 effluent limit for Cs-137. The smear surveys of the storm sewer piping, manhole vaults taken during entries into the RCA yard drain & Administration Building drain manholes were all considerably less than CA posting criteria. The Standard Dose Calculations used for planned water releases were utilized for the water release assuming no dilution. Using the Standard Dose Calculations it was calculated that 1.05 E-02 mRem was the worst case for organs and 5.72E-03 mRem for total body dose.  ""Following the RPM's review, it was determined that the asphalt area of the RCA could be down posted as a CA and the storm drain vault to the north of the Administration Building could be unplugged to allow regular flow of storm water.  ""Solution's has issued a Conditions Report (CR) and initiated an investigation to prevent this occurrence from happening again.  ""Regulatory reportability limits for liquid effluent releases were not exceed as result of this event."""
Power Reactor,52576,CLINTON,AMERGEN ENERGY COMPANY,3,CLINTON,IL,DEWITT,,Y,5000461,1,,,[1] GE-6,LUKE ECHOLS,DONG HWA PARK,2/25/2017 0:00,4:23,2/24/2017 0:00,22:39,CST,2/25/2017 0:00,NON EMERGENCY,50.72(b)(3)(v)(C),POT UNCNTRL RAD REL,,,,,,,MARK JEFFERS,R3DO,,,,,,,,,,,,,,,,,,,N,Y,99,Power Operation,99,Power Operation,N,N,0,,0,,N,N,0,,0,,"SECONDARY CONTAINMENT DIFFERENTAIL PRESSURE EXCEEDED TECHNICAL SPECIFICATIONS  ""At approximately 2239 [CST] on 2/24/17, the Main Control Room received numerous annunciators that indicated a loss of the 138 kV off-site feed to the Emergency Reserve Auxiliary Transformer (ERAT).  As a result of the voltage transient, the Division 1 Fuel Building ventilation (VF) system isolation dampers closed causing a trip of VF supply and exhaust fans.  With no running VF fans, secondary containment differential pressure rose to slightly greater than 0 inches water gauge which exceeded the Technical Specification requirement of greater than 0.25 inches vacuum water gauge.  The Control Room entered EOP-8, Secondary Containment Control.  This event is being reported as a Condition that Could Have Prevented Fulfillment of a Safety Function under 10CFR50.72(b)(3)(v)(C).  Secondary Containment differential pressure was restored within Technical Specification requirements at 2242 [CST] by starting the Standby Gas Treatment HVAC (VG) system.    ""The NRC Resident [Inspector] has been notified."""
Part 21,52579,UNITED CONTROLS INTERNATIONAL,UNITED CONTROLS INTERNATIONAL,1,NORCROSS,GA,,,Y,,,,,,WILLIAM MALLIA,JEFF ROTTON,2/27/2017 0:00,16:27,2/24/2017 0:00,,EST,2/27/2017 0:00,NON EMERGENCY,21.21(d)(3)(i),DEFECTS AND NONCOMPLIANCE,,,,,,,ANNE DeFRANCISCO,R1DO,JONATHAN BARTLEY,R2DO,MARK JEFFERS,R3DO,RICK DEESE,R4DO, PART 21/50.55 REACT,EMAI,,,,,,,,,,,N,N,0,,0,,N,N,0,,0,,N,N,0,,0,,"UCI TERMINAL BOXES P/N 005650-01 DISCOLORATION AND CORROSION  The following information is excerpted from an email submitted by the reporting organization:  ""In July of 2016, UCI [United Controls International] identified extensive discoloration and corrosion on P/N: 005650-01, terminal box enclosures, that were fabricated under UCI's Quality Assurance Program in April of 2015. The identified discoloration and corrosion was not present at the completion of fabrication and became evident when pulled from stock in July of 2016. It was determined that the fabrication process was changed during fabrication of the April of 2015 items to utilize a different vendor for fabrication activities. Evaluation of the fabrication process performed on the subject items identified that this new vendor utilized a polishing process that was not performed on previously fabricated items. Particles/crystals from the discolored areas of the affect items were analyzed by Fourier Transform Infra-Red (FTIR) method and it was identified that ammonium phosphate crystals had formed on the items. It is the determination of UCI that the affected items were cleaned/polished with unknown chemicals during the polishing process of fabrication that resulted in the formation of these crystals and degradation of the enclosure material overtime.  The items manufactured utilizing this new process were supplied to Clyde Union Limited under purchase orders 4500109863/4 (Qty. 1) and 4500113688/4 (Qty. 1). Clyde Union Limited was notified of the subject issue on January 13, 2017 and UCI is awaiting concurrence from Clyde Union Limited that the affected items are to be returned for replacement items manufactured per the original manufacturing process.  ""If you have any questions or wish to discuss this matter or this report, please contact: Wesley Hackle Engineering Manager whickle@unitedcontrols.com 770-496-1406 x 165"""
Power Reactor,52581,SALEM,PSEG NUCLEAR LLC,1,HANCOCKS BRIDGE,NJ,SALEM,,N,5000272,1,,,"[1] W-4-LP,[2] W-4-LP",JOHN OSBORNE,JEFF ROTTON,2/28/2017 0:00,16:24,2/28/2017 0:00,10:00,EST,2/28/2017 0:00,NON EMERGENCY,50.72(b)(2)(i),PLANT S/D REQD BY TS,50.72(b)(3)(ii)(A),DEGRADED CONDITION,,,,,ANNE DeFRANCISCO,R1DO,,,,,,,,,,,,,,,,,,,N,Y,28,Power Operation,0,Hot Standby,N,N,0,,0,,N,N,0,,0,,"TECHNICAL SPECIFICATION SHUTDOWN DUE TO REACTOR COOLANT SYSTEM PRESSURE BOUNDARY LEAKAGE  ""On February 28, 2017 at 0930 [EST], a containment visual inspection was performed to identify the source of elevated RCS [Reactor Coolant System] leakage.  A leak was identified between 13RC6 and 13SS661, 13 RCS hot leg sample isolation valves at 1000 [EST].  These valves are manual isolation valves in the reactor coolant hot leg sample line.  Leak isolation could not be initially verified and is considered RCS pressure boundary leakage.  Salem Unit 1 entered Technical Specification 3.4.6.2a, RCS operational leakage, for the existence of pressure boundary leakage.   ""This event is being reported under the requirements of 10CFR50.72(b)(2)(i) for 'The initiation of a plant shutdown required by Technical Specifications' and 10CFR50.72(b)(3)(ii)(A) or 'Any event of condition that results in the condition of the nuclear power plant, including its principal safety barriers being seriously degraded.'  ""The unit was placed in mode 3 at 1554 [EST] on 02/28/2017.  ""This condition has no impact on public health and safety.""  Per Technical Specifications, the unit is proceeding to mode 5.  The leak rate at the time of shutdown was 0.33 gpm.  This event has no effect on Unit 2.  The licensee has notified the NRC Resident Inspector.  The licensee will be notifying the Lower Alloways Creek Township, the State of New Jersey and the State of Delaware."
Power Reactor,52582,DRESDEN,"EXELON NUCLEAR COMPANY, LLC",3,MORRIS,IL,GRUNDY,,Y,,,2,3,"[1] GE-1,[2] GE-3,[3] GE-3",TRICIA LOULA,JEFF ROTTON,2/28/2017 0:00,21:34,2/28/2017 0:00,18:25,CST,2/28/2017 0:00,NON EMERGENCY,50.72(b)(3)(v)(C),POT UNCNTRL RAD REL,,,,,,,MARK JEFFERS,R3DO,,,,,,,,,,,,,,,,,,,N,N,0,,0,,N,Y,100,Power Operation,100,Power Operation,N,Y,100,Power Operation,100,Power Operation,"SHORT DURATION LOSS OF SECONDARY CONTAINMENT DUE TO SEVERE WEATHER  ""At 1825 [CST] on 02/28/2017, Dresden Station received unexpected alarm 923-5 C-1, RX BLDG DP LO [Reactor Building Differential Pressure Low]. Reactor Building differential pressure was observed to briefly lose vacuum and return to a normal reading of 0.6 inches vacuum water gauge.  At the time of the transient, Grundy County was under a Severe Weather Warning and gusts of wind were being monitored from the Main Control Room up to approximately 57 mph. The Reactor Building differential pressure returned to [greater than or equal to] 0.25 inches vacuum water gauge at 18:25 after 18 seconds with no operator action. Operators observed differential pressure reading to lose vacuum, below 0 inches vacuum water gauge, for approximately 3 seconds.    ""This condition represents a failure to meet Surveillance Requirement 3.6.4.1.1.  As a result, entry into Technical Specifications 3.6.4.1 condition A was made due to Secondary Containment being inoperable.  This event is being reported in accordance with 10CFR50.72(b)(3)(v)(C) as a condition that could have prevented the fulfillment of a safety function.  ""An issue report has been initiated and a 60-day Licensee Event Report will be submitted in accordance with 10CFR50.73(a)(2)(v)(C).   ""The NRC Resident Inspector has been notified."""
Power Reactor,52583,SOUTH TEXAS,STP NUCLEAR OPERATING COMPANY,4,WADSWORTH,TX,MATAGORDA,,Y,5000498,1,2,,"[1] W-4-LP,[2] W-4-LP",BRAD HARDT,BETHANY CECERE,2/28/2017 0:00,21:48,2/28/2017 0:00,10:30,CST,2/28/2017 0:00,NON EMERGENCY,26.719,FITNESS FOR DUTY,,,,,,,RICK DEESE,R4DO,FFD GROUP,EMAI,,,,,,,,,,,,,,,,,N,Y,100,Power Operation,100,Power Operation,N,Y,100,Power Operation,100,Power Operation,N,N,0,,0,,"FITNESS FOR DUTY - PROHIBITED ITEM FOUND INSIDE PROTECTED AREA  ""Event Report per 10 CFR 26.719(b)(1).  ""On February 28, 2017, a violation of the site Fitness For Duty policy was committed. A prohibited item was found inside the Protected Area.   ""The licensee notified the NRC Resident Inspector."""
